1	9.5
2	1.0
3	3.5
4	9.6
5	4.8
6	5.7
7	7.3
8	6.5
9	1.2
10	0.1
11	5.0
12	7.3
13	1.4
14	1.0
15	1.0
16	1.0
17	5.9
18	4.5
19	3.1
20	9.9
21	9.3
22	1.3
23	5.3
24	7.1
25	9.3
26	6.3
27	0.6
28	5.7
29	2.6
30	3.9
31	5.3
32	2.5
33	9.9
34	2.6
35	9.2
36	9.4
37	1.6
38	0.1
39	6.9
40	9.9
41	9.0
42	4.5
43	6.3
44	4.7
45	4.7
46	2.8
47	6.5
48	8.4
49	0.2
50	4.2
51	6.5
52	4.1
53	7.7
54	0.3
55	5.2
56	7.1
57	0.3
58	2.0
59	3.1
60	9.3
61	5.4
62	3.4
63	4.1
64	9.6
65	4.9
66	2.4
67	5.0
68	9.3
69	6.6
70	3.8
71	5.3
72	3.3
73	1.5
74	4.7
75	2.8
